id,experiment_type,target_container,start_time,end_time,parameters,notes
221,network_delay,sentinel-shipping-1,2026-08-07 11:44:17.600901+00,2026-08-07 11:45:53.070194+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
222,packet_loss,sentinel-catalogue-1,2026-08-07 13:07:56.411492+00,2026-08-07 13:09:31.492125+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
223,packet_loss,sentinel-payment-1,2026-08-07 14:04:55.578138+00,2026-08-07 14:06:30.636049+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
224,cpu_stress,sentinel-orders-1,2026-08-07 15:19:27.707514+00,2026-08-07 15:21:01.720771+00,"{""duration_seconds"": 90}",
225,cpu_stress,sentinel-front-end-1,2026-08-07 16:14:58.900835+00,2026-08-07 16:16:31.204212+00,"{""duration_seconds"": 90}",
226,container_kill,sentinel-front-end-1,2026-08-07 16:46:52.269626+00,2026-08-07 16:47:04.169465+00,{},
227,cpu_stress,sentinel-shipping-1,2026-08-07 17:39:40.25768+00,2026-08-07 17:41:12.43968+00,"{""duration_seconds"": 90}",
228,packet_loss,sentinel-payment-1,2026-08-07 18:14:47.53179+00,2026-08-07 18:16:22.673196+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
229,network_delay,sentinel-orders-1,2026-08-07 18:57:34.872242+00,2026-08-07 18:59:10.007126+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
230,container_kill,sentinel-orders-1,2026-08-07 20:18:19.153347+00,2026-08-07 20:18:31.430162+00,{},
231,packet_loss,sentinel-shipping-1,2026-08-07 21:09:07.530683+00,2026-08-07 21:10:42.62456+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
232,packet_loss,sentinel-payment-1,2026-08-07 22:38:03.65622+00,2026-08-07 22:39:38.726475+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
233,cpu_stress,sentinel-payment-1,2026-08-08 00:07:17.924424+00,2026-08-08 00:08:49.071876+00,"{""duration_seconds"": 90}",
234,packet_loss,sentinel-orders-1,2026-08-08 00:50:52.143734+00,2026-08-08 00:52:27.182436+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
235,packet_loss,sentinel-carts-1,2026-08-08 01:52:08.278387+00,2026-08-08 01:53:43.355265+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
236,packet_loss,sentinel-front-end-1,2026-08-08 02:51:48.419936+00,2026-08-08 02:53:23.48497+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
237,network_delay,sentinel-orders-1,2026-08-08 03:27:18.491816+00,2026-08-08 03:28:53.554571+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
238,network_delay,sentinel-front-end-1,2026-08-08 03:59:52.593962+00,2026-08-08 04:01:27.663695+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
239,packet_loss,sentinel-orders-1,2026-08-08 04:56:57.698765+00,2026-08-08 04:58:32.800903+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
240,packet_loss,sentinel-payment-1,2026-08-08 06:03:20.852871+00,2026-08-08 06:04:55.911633+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
241,container_kill,sentinel-carts-1,2026-08-08 07:30:16.953258+00,2026-08-08 07:30:29.341954+00,{},
242,cpu_stress,sentinel-carts-1,2026-08-08 08:56:18.359845+00,2026-08-08 08:57:50.501715+00,"{""duration_seconds"": 90}",
243,network_delay,sentinel-front-end-1,2026-08-08 09:57:44.562387+00,2026-08-08 09:59:19.703043+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
244,network_delay,sentinel-orders-1,2026-08-08 11:18:06.80037+00,2026-08-08 11:19:41.913852+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
245,container_kill,sentinel-payment-1,2026-08-08 12:43:02.469618+00,2026-08-08 12:43:14.10337+00,{},
246,cpu_stress,sentinel-front-end-1,2026-08-08 13:33:26.266124+00,2026-08-08 13:34:58.686693+00,"{""duration_seconds"": 90}",
247,cpu_stress,sentinel-catalogue-1,2026-08-08 14:29:45.851288+00,2026-08-08 14:31:17.092409+00,"{""duration_seconds"": 90}",
248,container_kill,sentinel-payment-1,2026-08-08 15:19:09.261234+00,2026-08-08 15:19:20.635587+00,{},
249,container_kill,sentinel-shipping-1,2026-08-08 16:40:27.775167+00,2026-08-08 16:40:40.9245+00,{},
250,network_delay,sentinel-catalogue-1,2026-08-08 17:15:03.042203+00,2026-08-08 17:16:38.163793+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
251,network_delay,sentinel-front-end-1,2026-08-08 18:28:33.372645+00,2026-08-08 18:30:08.514508+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
252,container_kill,sentinel-orders-1,2026-08-08 23:44:14.541648+00,2026-08-08 23:44:26.945101+00,{},
253,container_kill,sentinel-carts-1,2026-08-09 00:37:46.976637+00,2026-08-09 00:37:58.773166+00,{},
254,container_kill,sentinel-carts-1,2026-08-09 01:36:36.799163+00,2026-08-09 01:36:48.811655+00,{},
255,network_delay,sentinel-shipping-1,2026-08-09 03:01:28.799463+00,2026-08-09 03:03:03.935268+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
256,network_delay,sentinel-catalogue-1,2026-08-09 03:59:38.130875+00,2026-08-09 04:01:13.174261+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
257,container_kill,sentinel-payment-1,2026-08-09 05:03:48.13283+00,2026-08-09 05:03:59.80566+00,{},
258,packet_loss,sentinel-front-end-1,2026-08-09 06:32:34.126192+00,2026-08-09 06:34:09.160435+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
259,network_delay,sentinel-orders-1,2026-08-09 07:55:02.12309+00,2026-08-09 07:56:37.162035+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
260,packet_loss,sentinel-catalogue-1,2026-08-09 09:14:41.164278+00,2026-08-09 09:16:16.199756+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
261,cpu_stress,sentinel-catalogue-1,2026-08-09 10:43:39.251749+00,2026-08-09 10:45:09.785204+00,"{""duration_seconds"": 90}",
262,cpu_stress,sentinel-orders-1,2026-08-09 12:00:23.826621+00,2026-08-09 12:01:55.322806+00,"{""duration_seconds"": 90}",
263,network_delay,sentinel-front-end-1,2026-08-09 13:26:35.330657+00,2026-08-09 13:28:10.380473+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
264,packet_loss,sentinel-shipping-1,2026-08-09 14:44:28.673239+00,2026-08-09 14:46:03.734678+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
265,packet_loss,sentinel-payment-1,2026-08-09 15:29:56.701341+00,2026-08-09 15:31:31.752781+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
266,container_kill,sentinel-front-end-1,2026-08-09 16:48:56.054105+00,2026-08-09 16:49:08.112599+00,{},
267,packet_loss,sentinel-carts-1,2026-08-09 19:12:32.020875+00,2026-08-09 19:14:07.114717+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
268,packet_loss,sentinel-orders-1,2026-08-09 20:40:04.575884+00,2026-08-09 20:41:39.654237+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
269,packet_loss,sentinel-front-end-1,2026-08-09 21:30:34.799218+00,2026-08-09 21:32:20.224755+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
272,packet_loss,sentinel-front-end-1,2026-08-10 00:30:07.134302+00,2026-08-10 00:31:42.187501+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
273,cpu_stress,sentinel-carts-1,2026-08-10 01:44:24.334721+00,2026-08-10 01:45:56.255558+00,"{""duration_seconds"": 90}",
274,network_delay,sentinel-carts-1,2026-08-10 02:58:11.336745+00,2026-08-10 02:59:46.420802+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
275,cpu_stress,sentinel-payment-1,2026-08-10 03:41:24.465742+00,2026-08-10 03:42:55.870884+00,"{""duration_seconds"": 90}",
276,cpu_stress,sentinel-front-end-1,2026-08-10 04:23:27.910992+00,2026-08-10 04:24:59.62533+00,"{""duration_seconds"": 90}",
277,container_kill,sentinel-catalogue-1,2026-08-10 05:15:38.624243+00,2026-08-10 05:15:49.721909+00,{},
278,network_delay,sentinel-carts-1,2026-08-10 05:48:58.794095+00,2026-08-10 05:50:33.857972+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
279,network_delay,sentinel-payment-1,2026-08-10 06:41:12.354191+00,2026-08-10 06:42:47.404164+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
280,container_kill,sentinel-catalogue-1,2026-08-10 08:06:05.594064+00,2026-08-10 08:06:17.195002+00,{},
281,packet_loss,sentinel-catalogue-1,2026-08-10 09:22:28.412207+00,2026-08-10 09:24:03.554549+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
282,packet_loss,sentinel-orders-1,2026-08-10 10:17:48.827864+00,2026-08-10 10:19:23.871712+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
283,packet_loss,sentinel-catalogue-1,2026-08-10 11:09:00.024052+00,2026-08-10 11:10:35.1152+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
284,cpu_stress,sentinel-front-end-1,2026-08-10 11:53:53.247138+00,2026-08-10 11:55:25.329888+00,"{""duration_seconds"": 90}",
285,packet_loss,sentinel-front-end-1,2026-08-10 12:47:51.439449+00,2026-08-10 12:49:26.63424+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
286,container_kill,sentinel-orders-1,2026-08-10 13:47:34.128697+00,2026-08-10 13:47:46.287031+00,{},
287,container_kill,sentinel-orders-1,2026-08-10 14:25:14.415007+00,2026-08-10 14:25:26.449347+00,{},
288,cpu_stress,sentinel-payment-1,2026-08-10 15:50:33.550622+00,2026-08-10 15:52:04.480645+00,"{""duration_seconds"": 90}",
289,packet_loss,sentinel-shipping-1,2026-08-10 17:10:01.148665+00,2026-08-10 17:11:36.270419+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
290,network_delay,sentinel-carts-1,2026-08-10 18:30:23.343054+00,2026-08-10 18:31:58.69852+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
291,network_delay,sentinel-payment-1,2026-08-10 19:34:34.071926+00,2026-08-10 19:36:09.668424+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
292,network_delay,sentinel-payment-1,2026-08-10 21:00:16.752936+00,2026-08-10 21:01:51.823332+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
293,network_delay,sentinel-shipping-1,2026-08-10 22:19:28.867171+00,2026-08-10 22:21:04.004194+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
294,cpu_stress,sentinel-orders-1,2026-08-10 23:03:24.977899+00,2026-08-10 23:04:57.100572+00,"{""duration_seconds"": 90}",
295,packet_loss,sentinel-orders-1,2026-08-11 00:00:17.200666+00,2026-08-11 00:01:52.272296+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
296,network_delay,sentinel-orders-1,2026-08-11 00:41:50.243562+00,2026-08-11 00:43:25.29373+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
297,container_kill,sentinel-catalogue-1,2026-08-11 01:28:38.248888+00,2026-08-11 01:28:49.085574+00,{},
298,network_delay,sentinel-orders-1,2026-08-11 02:46:16.988784+00,2026-08-11 02:47:52.057393+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
299,container_kill,sentinel-carts-1,2026-08-11 03:51:57.029363+00,2026-08-11 03:52:08.84474+00,{},
300,cpu_stress,sentinel-orders-1,2026-08-11 04:26:30.867814+00,2026-08-11 04:28:03.126039+00,"{""duration_seconds"": 90}",
301,container_kill,sentinel-carts-1,2026-08-11 13:18:13.367432+00,2026-08-11 13:18:25.091855+00,{},
302,container_kill,sentinel-orders-1,2026-08-11 14:30:32.047458+00,2026-08-11 14:30:43.751774+00,{},
303,container_kill,sentinel-front-end-1,2026-08-11 15:47:35.692355+00,2026-08-11 15:47:47.48308+00,{},
304,packet_loss,sentinel-orders-1,2026-08-11 17:10:14.485896+00,2026-08-11 17:11:49.630918+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
305,network_delay,sentinel-front-end-1,2026-08-11 17:53:00.712294+00,2026-08-11 17:54:35.829559+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
306,cpu_stress,sentinel-carts-1,2026-08-11 18:56:09.244639+00,2026-08-11 18:57:41.504633+00,"{""duration_seconds"": 90}",
307,container_kill,sentinel-payment-1,2026-08-11 20:15:15.505677+00,2026-08-11 20:15:26.692056+00,{},
308,packet_loss,sentinel-carts-1,2026-08-11 21:17:27.008405+00,2026-08-11 21:19:02.059493+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
309,network_delay,sentinel-carts-1,2026-08-11 22:15:15.067994+00,2026-08-11 22:16:50.270882+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
310,cpu_stress,sentinel-payment-1,2026-08-11 23:06:59.366156+00,2026-08-11 23:08:30.72237+00,"{""duration_seconds"": 90}",
311,container_kill,sentinel-front-end-1,2026-08-11 23:59:18.89473+00,2026-08-11 23:59:30.700159+00,{},
312,network_delay,sentinel-catalogue-1,2026-08-12 00:51:16.766511+00,2026-08-12 00:52:51.847825+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
313,container_kill,sentinel-payment-1,2026-08-12 02:10:25.957315+00,2026-08-12 02:10:36.689634+00,{},
314,packet_loss,sentinel-front-end-1,2026-08-12 02:40:40.803263+00,2026-08-12 02:42:15.854807+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
315,cpu_stress,sentinel-orders-1,2026-08-12 04:04:50.955433+00,2026-08-12 04:06:22.739845+00,"{""duration_seconds"": 90}",
316,network_delay,sentinel-orders-1,2026-08-12 05:29:31.853384+00,2026-08-12 05:31:06.931521+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
317,network_delay,sentinel-front-end-1,2026-08-12 11:02:49.442307+00,2026-08-12 11:04:24.534231+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
318,container_kill,sentinel-payment-1,2026-08-12 15:58:42.567068+00,2026-08-12 15:58:59.181071+00,{},
319,packet_loss,sentinel-catalogue-1,2026-08-12 17:16:13.419892+00,2026-08-12 17:17:48.794205+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
320,network_delay,sentinel-carts-1,2026-08-12 18:45:47.850572+00,2026-08-12 18:47:23.118706+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
321,network_delay,sentinel-carts-1,2026-08-12 19:22:02.222061+00,2026-08-12 19:23:37.285766+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
322,container_kill,sentinel-front-end-1,2026-08-12 20:27:39.330165+00,2026-08-12 20:27:53.838733+00,{},
323,network_delay,sentinel-carts-1,2026-08-12 21:36:40.982647+00,2026-08-12 21:38:16.12556+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
324,packet_loss,sentinel-orders-1,2026-08-12 22:14:58.281142+00,2026-08-12 22:16:33.391943+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
325,packet_loss,sentinel-shipping-1,2026-08-12 22:46:43.789286+00,2026-08-12 22:48:18.848746+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
326,network_delay,sentinel-orders-1,2026-08-13 00:10:27.996409+00,2026-08-13 00:12:03.086154+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
327,container_kill,sentinel-front-end-1,2026-08-13 01:19:58.557492+00,2026-08-13 01:20:11.15319+00,{},
328,packet_loss,sentinel-shipping-1,2026-08-13 02:09:40.290584+00,2026-08-13 02:11:15.381271+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
329,packet_loss,sentinel-front-end-1,2026-08-13 02:45:34.483656+00,2026-08-13 02:47:33.243779+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
330,container_kill,sentinel-shipping-1,2026-08-13 03:56:06.768169+00,2026-08-13 03:56:19.024078+00,{},
331,packet_loss,sentinel-orders-1,2026-08-13 04:30:44.104034+00,2026-08-13 04:32:19.168346+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
332,network_delay,sentinel-payment-1,2026-08-13 05:05:03.285531+00,2026-08-13 05:06:38.345707+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
365,packet_loss,sentinel-catalogue-1,2026-08-13 06:17:43.804525+00,2026-08-13 06:19:18.880705+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
366,container_kill,sentinel-payment-1,2026-08-13 07:28:21.069681+00,2026-08-13 07:28:32.427624+00,{},
367,packet_loss,sentinel-front-end-1,2026-08-13 08:36:42.946138+00,2026-08-13 08:38:18.056778+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
368,container_kill,sentinel-carts-1,2026-08-13 09:56:37.158116+00,2026-08-13 09:56:54.288345+00,{},
369,container_kill,sentinel-payment-1,2026-08-13 11:01:45.373688+00,2026-08-13 11:01:59.971491+00,{},
370,packet_loss,sentinel-payment-1,2026-08-13 12:28:23.101228+00,2026-08-13 12:29:58.177642+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
371,container_kill,sentinel-catalogue-1,2026-08-13 13:35:19.193754+00,2026-08-13 13:35:29.864542+00,{},
372,packet_loss,sentinel-shipping-1,2026-08-13 14:19:05.869991+00,2026-08-13 14:20:40.896154+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
373,container_kill,sentinel-orders-1,2026-08-13 15:04:27.954727+00,2026-08-13 15:04:41.419462+00,{},
374,packet_loss,sentinel-carts-1,2026-08-13 16:05:07.438838+00,2026-08-13 16:06:42.516103+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
375,container_kill,sentinel-front-end-1,2026-08-13 16:58:30.565751+00,2026-08-13 16:58:42.541836+00,{},
376,packet_loss,sentinel-shipping-1,2026-08-13 18:26:28.700343+00,2026-08-13 18:28:03.79777+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
377,packet_loss,sentinel-shipping-1,2026-08-13 19:15:51.212287+00,2026-08-13 19:17:26.727963+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
378,network_delay,sentinel-orders-1,2026-08-13 20:18:09.0827+00,2026-08-13 20:19:44.154582+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
379,cpu_stress,sentinel-orders-1,2026-08-13 21:09:35.289784+00,2026-08-13 21:11:07.540047+00,"{""duration_seconds"": 90}",
380,network_delay,sentinel-shipping-1,2026-08-13 22:23:43.197811+00,2026-08-13 22:25:18.777364+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
381,packet_loss,sentinel-carts-1,2026-08-13 23:41:49.815067+00,2026-08-13 23:43:24.874545+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
382,container_kill,sentinel-catalogue-1,2026-08-14 00:17:01.942317+00,2026-08-14 00:17:12.565983+00,{},
383,cpu_stress,sentinel-carts-1,2026-08-14 01:20:22.940858+00,2026-08-14 01:21:54.63836+00,"{""duration_seconds"": 90}",
384,packet_loss,sentinel-catalogue-1,2026-08-14 02:25:05.673995+00,2026-08-14 02:26:40.737107+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
385,network_delay,sentinel-shipping-1,2026-08-14 03:15:11.854687+00,2026-08-14 03:16:46.905494+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
386,packet_loss,sentinel-orders-1,2026-08-14 04:30:14.954317+00,2026-08-14 04:31:50.002331+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
387,network_delay,sentinel-front-end-1,2026-08-14 06:01:07.506019+00,2026-08-14 06:02:42.543916+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
388,packet_loss,sentinel-catalogue-1,2026-08-14 08:48:51.32038+00,2026-08-14 08:50:26.368862+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
389,packet_loss,sentinel-catalogue-1,2026-08-14 14:21:23.19505+00,2026-08-14 14:22:58.260973+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
390,container_kill,sentinel-front-end-1,2026-08-14 15:13:25.734174+00,2026-08-14 15:13:37.814387+00,{},
391,network_delay,sentinel-orders-1,2026-08-14 16:16:08.069571+00,2026-08-14 16:17:43.270025+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
392,packet_loss,sentinel-shipping-1,2026-08-14 17:46:54.552093+00,2026-08-14 17:48:29.621356+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
393,network_delay,sentinel-catalogue-1,2026-08-14 18:25:58.715055+00,2026-08-14 18:27:33.741582+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
394,cpu_stress,sentinel-front-end-1,2026-08-14 19:47:47.05455+00,2026-08-14 19:49:28.120563+00,"{""duration_seconds"": 90}",
395,cpu_stress,sentinel-front-end-1,2026-08-14 20:30:47.647762+00,2026-08-14 20:32:19.407712+00,"{""duration_seconds"": 90}",
396,cpu_stress,sentinel-payment-1,2026-08-14 21:14:38.541908+00,2026-08-14 21:16:09.675132+00,"{""duration_seconds"": 90}",
397,container_kill,sentinel-catalogue-1,2026-08-14 22:19:13.770587+00,2026-08-14 22:19:25.723517+00,{},
398,packet_loss,sentinel-catalogue-1,2026-08-14 23:09:10.143911+00,2026-08-14 23:10:45.214857+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
399,packet_loss,sentinel-front-end-1,2026-08-14 23:56:30.297886+00,2026-08-14 23:58:05.361876+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
400,packet_loss,sentinel-front-end-1,2026-08-15 01:12:47.467967+00,2026-08-15 01:14:22.543081+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
401,packet_loss,sentinel-carts-1,2026-08-15 01:58:19.111119+00,2026-08-15 01:59:54.309046+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
402,container_kill,sentinel-shipping-1,2026-08-15 03:10:47.721671+00,2026-08-15 03:10:59.53763+00,{},
403,network_delay,sentinel-orders-1,2026-08-15 04:09:33.819511+00,2026-08-15 04:11:08.864688+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
404,packet_loss,sentinel-carts-1,2026-08-15 05:20:39.951826+00,2026-08-15 05:22:15.022129+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
405,container_kill,sentinel-catalogue-1,2026-08-15 05:52:21.106648+00,2026-08-15 05:52:32.321116+00,{},
406,container_kill,sentinel-orders-1,2026-08-15 06:38:28.477226+00,2026-08-15 06:38:45.007886+00,{},
407,network_delay,sentinel-payment-1,2026-08-15 07:19:14.187644+00,2026-08-15 07:20:49.334577+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
408,container_kill,sentinel-catalogue-1,2026-08-15 08:25:08.818476+00,2026-08-15 08:25:19.78683+00,{},
409,container_kill,sentinel-carts-1,2026-08-15 09:07:50.862029+00,2026-08-15 09:08:02.93974+00,{},
410,cpu_stress,sentinel-orders-1,2026-08-15 10:28:34.078577+00,2026-08-15 10:30:08.69804+00,"{""duration_seconds"": 90}",
411,network_delay,sentinel-shipping-1,2026-08-15 11:19:46.257501+00,2026-08-15 11:21:21.383614+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
412,network_delay,sentinel-payment-1,2026-08-15 12:32:08.677523+00,2026-08-15 12:33:43.800637+00,"{""delay_ms"": 300, ""duration_seconds"": 90}",
413,packet_loss,sentinel-shipping-1,2026-08-15 13:48:21.42706+00,2026-08-15 13:49:56.585448+00,"{""loss_percent"": 40, ""duration_seconds"": 90}",
